#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 27 20 14 220  2.1  2.6    MM    MM    MM  MM 1006.5  -1.2    MM  -1.8   MM   MM    MM
2023 09 27 20 04 220  2.6  2.6    MM    MM    MM  MM 1006.4  -1.3    MM  -1.9   MM   MM    MM
2023 09 27 19 54 220  2.1  3.1    MM    MM    MM  MM 1006.4  -1.4    MM  -2.0   MM   MM    MM
2023 09 27 19 44 230  2.6  3.6    MM    MM    MM  MM 1006.3  -1.5    MM  -2.2   MM   MM    MM
2023 09 27 19 34 230  3.1  3.6    MM    MM    MM  MM 1006.2  -1.5    MM  -2.4   MM   MM    MM
2023 09 27 19 24 220  2.6  3.6    MM    MM    MM  MM 1006.3  -1.6    MM  -2.5   MM   MM    MM
2023 09 27 19 14 220  2.6  3.1    MM    MM    MM  MM 1006.2  -1.8    MM  -2.8   MM   MM    MM
2023 09 27 19 04 220  2.6  3.1    MM    MM    MM  MM 1006.2  -2.0    MM  -3.0   MM   MM    MM
2023 09 27 18 54 220  2.6  3.1    MM    MM    MM  MM 1006.2  -2.2    MM  -3.3   MM   MM    MM
2023 09 27 18 44 220  2.1  2.1    MM    MM    MM  MM 1006.2  -2.4    MM  -3.6   MM   MM    MM
2023 09 27 18 34 210  2.1  2.6    MM    MM    MM  MM 1006.3  -2.6    MM  -3.7   MM   MM    MM
2023 09 27 18 24 220  2.1  3.6    MM    MM    MM  MM 1006.3  -2.8    MM  -3.6   MM   MM    MM
2023 09 27 18 14 230  3.1  3.6    MM    MM    MM  MM 1006.2  -2.9    MM  -3.7   MM   MM    MM
2023 09 27 18 04 240  2.6  3.1    MM    MM    MM  MM 1006.2  -2.9    MM  -3.6   MM   MM    MM
2023 09 27 17 54 230  2.1  3.1    MM    MM    MM  MM 1006.2  -3.0    MM  -3.7   MM   MM    MM
2023 09 27 17 44 240  3.1  4.1    MM    MM    MM  MM 1006.2  -3.1    MM  -3.9   MM   MM    MM
2023 09 27 17 34 240  3.6  4.1    MM    MM    MM  MM 1006.2  -3.2    MM  -4.0   MM   MM    MM
2023 09 27 17 24 240  3.6  4.1    MM    MM    MM  MM 1006.2  -3.3    MM  -4.2   MM   MM    MM
2023 09 27 17 14 240  4.1  4.6    MM    MM    MM  MM 1006.2  -3.3    MM  -4.5   MM   MM    MM
2023 09 27 17 04 240  4.1  5.1    MM    MM    MM  MM 1006.2  -3.5    MM  -4.5   MM   MM    MM
2023 09 27 16 54 240  4.1  5.1    MM    MM    MM  MM 1006.2  -3.6    MM  -4.6   MM   MM    MM
2023 09 27 16 44 240  4.1  4.6    MM    MM    MM  MM 1006.3  -3.8    MM  -4.7   MM   MM    MM
2023 09 27 16 34 240  3.6  4.6    MM    MM    MM  MM 1006.3  -4.2    MM  -4.9   MM   MM    MM
2023 09 27 16 24 240  3.6  5.1    MM    MM    MM  MM 1006.2  -4.4    MM  -5.1   MM   MM    MM
2023 09 27 16 14 230  3.6  5.1    MM    MM    MM  MM 1006.2  -4.1    MM  -5.2   MM   MM    MM
2023 09 27 16 04 230  3.1  3.6    MM    MM    MM  MM 1006.2  -3.5    MM  -4.9   MM   MM    MM
2023 09 27 15 54 220  3.1  3.6    MM    MM    MM  MM 1006.2  -4.4    MM  -5.4   MM   MM    MM
2023 09 27 15 44 220  3.1  3.6    MM    MM    MM  MM 1006.2  -4.8    MM  -5.6   MM   MM    MM
2023 09 27 15 34 220  3.1  4.1    MM    MM    MM  MM 1006.2  -4.8    MM  -5.6   MM   MM    MM
2023 09 27 15 24 210  2.1  3.1    MM    MM    MM  MM 1006.2  -5.0    MM  -5.7   MM   MM    MM
2023 09 27 15 14 210  2.1  2.6    MM    MM    MM  MM 1006.1  -4.8    MM  -5.5   MM   MM    MM
2023 09 27 15 04 220  2.1  2.6    MM    MM    MM  MM 1006.0  -4.6    MM  -5.3   MM   MM    MM
2023 09 27 14 54 220  1.5  2.6    MM    MM    MM  MM 1006.0  -4.5    MM  -5.0   MM   MM    MM
2023 09 27 14 44 220  2.1  2.6    MM    MM    MM  MM 1006.0  -4.4    MM  -4.9   MM   MM    MM
2023 09 27 14 34 230  2.6  3.1    MM    MM    MM  MM 1006.1  -4.2    MM  -4.9   MM   MM    MM
