#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 22 21 00  MM   MM   MM    MM    MM    MM  MM 1014.1  30.6    MM  15.0   MM -1.1    MM
2023 09 22 20 00  MM   MM   MM    MM    MM    MM  MM 1013.9  30.7    MM  15.1   MM -2.3    MM
2023 09 22 19 00  MM   MM   MM    MM    MM    MM  MM 1014.4  29.7    MM  16.1   MM -2.3    MM
2023 09 22 18 00  MM   MM   MM    MM    MM    MM  MM 1015.2  29.8    MM  16.8   MM -1.9    MM
2023 09 22 17 00  MM   MM   MM    MM    MM    MM  MM 1016.2  28.2    MM  17.1   MM -1.1    MM
2023 09 22 16 00  MM   MM   MM    MM    MM    MM  MM 1016.7  27.6    MM  17.8   MM -0.5    MM
2023 09 22 15 00  MM   MM   MM    MM    MM    MM  MM 1017.1  26.6    MM  18.8   MM +0.0    MM
2023 09 22 14 00  MM   MM   MM    MM    MM    MM  MM 1017.3  24.8    MM  19.2   MM +0.8    MM
2023 09 22 13 00  MM   MM   MM    MM    MM    MM  MM 1017.2  23.3    MM  20.2   MM +1.3    MM
2023 09 22 12 00  MM   MM   MM    MM    MM    MM  MM 1017.3  21.3    MM  21.2   MM +1.4    MM
2023 09 22 11 00  MM   MM   MM    MM    MM    MM  MM 1016.5  20.6    MM  20.6   MM +0.7    MM
2023 09 22 10 00  MM   MM   MM    MM    MM    MM  MM 1015.9  20.8    MM  20.7   MM +0.0    MM
2023 09 22 09 00  MM   MM   MM    MM    MM    MM  MM 1015.9  21.4    MM  21.1   MM -0.0    MM
2023 09 22 08 00  MM   MM   MM    MM    MM    MM  MM 1015.8  21.6    MM  21.2   MM -0.7    MM
2023 09 22 07 00  MM   MM   MM    MM    MM    MM  MM 1015.7  21.9    MM  21.3   MM -1.1    MM
2023 09 22 06 00  MM   MM   MM    MM    MM    MM  MM 1016.0  22.4    MM  21.7   MM -0.9    MM
2023 09 22 05 00  MM   MM   MM    MM    MM    MM  MM 1016.5  23.0    MM  21.7   MM -1.0    MM
2023 09 22 04 00  MM   MM   MM    MM    MM    MM  MM 1016.8  23.6    MM  22.2   MM +0.0    MM
2023 09 22 03 00  MM   MM   MM    MM    MM    MM  MM 1016.9  24.6    MM  22.4   MM +0.6    MM
2023 09 22 02 00  MM   MM   MM    MM    MM    MM  MM 1017.5  25.1    MM  21.2   MM +1.5    MM
2023 09 22 01 00  MM   MM   MM    MM    MM    MM  MM 1017.0  25.6    MM  21.0   MM +2.2    MM
2023 09 22 00 00  MM   MM   MM    MM    MM    MM  MM 1016.3  26.7    MM  20.7   MM +1.1    MM
2023 09 21 23 00  MM   MM   MM    MM    MM    MM  MM 1016.0  28.1    MM  20.3   MM +0.6    MM
2023 09 21 22 00  MM   MM   MM    MM    MM    MM  MM 1014.8  32.5    MM  17.4   MM   MM    MM
2023 09 21 21 00  MM   MM   MM    MM    MM    MM  MM 1015.2  32.3    MM  17.5   MM -1.7    MM
2023 09 21 20 00  MM   MM   MM    MM    MM    MM  MM 1015.4  32.4    MM  17.6   MM -2.3    MM
2023 09 21 18 00  MM   MM   MM    MM    MM    MM  MM 1016.9  31.7    MM  18.9   MM   MM    MM
2023 09 21 17 00  MM   MM   MM    MM    MM    MM  MM 1017.7  29.8    MM  20.3   MM -0.4    MM
2023 09 21 16 00  MM   MM   MM    MM    MM    MM  MM 1018.1  28.7    MM  21.2   MM +0.0    MM
2023 09 21 14 00  MM   MM   MM    MM    MM    MM  MM 1018.1  26.0    MM  21.8   MM +1.2    MM
2023 09 21 13 00  MM   MM   MM    MM    MM    MM  MM 1018.2  23.2    MM  22.8   MM +1.7    MM
2023 09 21 12 00  MM   MM   MM    MM    MM    MM  MM 1017.6  22.1    MM  22.1   MM   MM    MM
2023 09 21 11 00  MM   MM   MM    MM    MM    MM  MM 1016.9  22.1    MM  22.1   MM +0.0    MM
2023 09 21 10 00  MM   MM   MM    MM    MM    MM  MM 1016.5  22.0    MM  22.0   MM +0.0    MM
2023 09 21 09 00  MM   MM   MM    MM    MM    MM  MM     MM  22.2    MM  22.2   MM   MM    MM
2023 09 21 08 00  MM   MM   MM    MM    MM    MM  MM 1016.7  22.3    MM  22.3   MM +0.0    MM
2023 09 21 07 00  MM   MM   MM    MM    MM    MM  MM 1016.7  22.7    MM  22.5   MM -0.4    MM
2023 09 21 06 00  MM   MM   MM    MM    MM    MM  MM 1016.9  23.1    MM  22.8   MM -0.4    MM
2023 09 21 05 00  MM   MM   MM    MM    MM    MM  MM 1016.9  23.5    MM  22.7   MM -0.3    MM
2023 09 21 04 00  MM   MM   MM    MM    MM    MM  MM 1017.1  24.2    MM  22.8   MM +0.6    MM
2023 09 21 03 00  MM   MM   MM    MM    MM    MM  MM 1017.3  24.4    MM  22.5   MM +1.1    MM
2023 09 21 02 00  MM   MM   MM    MM    MM    MM  MM 1017.2  24.0    MM  21.6   MM +1.6    MM
2023 09 21 01 00  MM   MM   MM    MM    MM    MM  MM 1016.5  24.4    MM  20.2   MM +0.9    MM
2023 09 21 00 00  MM   MM   MM    MM    MM    MM  MM 1016.2  26.8    MM  19.2   MM -0.0    MM
2023 09 20 23 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.2    MM  19.4   MM -0.7    MM
