#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 19 12 00  MM   MM   MM    MM    MM    MM  MM 1016.2  26.9    MM    MM   MM +0.9    MM
2023 09 19 11 00  MM   MM   MM    MM    MM    MM  MM 1015.7  26.8    MM    MM   MM +0.3    MM
2023 09 19 10 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.1    MM    MM   MM +0.0    MM
2023 09 19 09 00  MM   MM   MM    MM    MM    MM  MM 1015.3  27.2    MM    MM   MM -0.5    MM
2023 09 19 08 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.4    MM    MM   MM -0.6    MM
2023 09 19 07 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.5    MM    MM   MM -0.6    MM
2023 09 19 06 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.7    MM    MM   MM -0.3    MM
2023 09 19 05 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.8    MM    MM   MM +0.0    MM
2023 09 19 04 00  MM   MM   MM    MM    MM    MM  MM 1016.0  27.8    MM    MM   MM +0.9    MM
2023 09 19 03 00  MM   MM   MM    MM    MM    MM  MM 1016.1  27.8    MM    MM   MM +1.8    MM
